38.33333333,41.66666667,19,0,0
50.66666667,65.0,42,0,0
51.0,85.66666667,67,0,0
50.33333333,66.66666667,83,0,0
39.33333333,41.66666667,74,0,0
28.33333333,26.66666667,57,0,0
22.0,16.66666667,34,0,0
18.66666667,8.333333333,20,0,0
18.33333333,1.666666667,9,0,0
21.33333333,0.0,4,0,0
23.0,0.0,1,0,0
28.0,0.0,0,0,0
35.33333333,0.0,0,0,0
43.33333333,0.0,0,0,0
44.0,0.0,0,0,0
38.0,0.0,0,0,0
42.0,0.0,0,0,0
42.0,0.0,0,0,0
36.0,0.0,0,0,0
29.33333333,0.0,0,0,0
27.0,0.0,-1,0,0
30.33333333,0.0,-3,0,0
31.33333333,0.0,0,0,0
31.33333333,0.0,0,0,0
32.66666667,0.0,0,0,0
35.0,0.0,-3,0,0
38.0,0.0,2,0,0
33.66666667,0.0,-3,0,0
34.66666667,0.0,0,0,0
35.66666667,0.0,1,0,0
37.33333333,0.0,0,0,0
37.66666667,1.666666667,1,0,0
39.0,6.666666667,3,0,0
39.66666667,21.66666667,11,0,0
40.66666667,46.66666667,26,0,0
46.0,71.66666667,56,0,0
47.66666667,73.33333333,69,0,0
39.66666667,48.33333333,75,0,0
38.0,50.0,70,0,0
26.66666667,31.66666667,52,0,0
25.66666667,11.66666667,35,0,0
19.33333333,5.0,18,0,0
20.0,0.0,6,0,0
19.33333333,0.0,2,0,0
25.33333333,0.0,0,0,0
28.66666667,0.0,0,0,0
40.0,0.0,0,0,0
37.33333333,0.0,0,0,0
43.66666667,0.0,1,0,0
40.33333333,0.0,-1,0,0
42.66666667,0.0,0,0,0
40.66666667,0.0,0,0,0
32.66666667,0.0,0,0,0
29.33333333,0.0,0,0,0
30.66666667,0.0,0,0,0
31.33333333,0.0,0,0,0
29.33333333,0.0,0,0,0
34.0,0.0,0,0,0
30.0,0.0,0,0,0
26.0,0.0,0,0,0
19.33333333,0.0,0,0,0
20.66666667,0.0,0,0,0
25.33333333,0.0,0,0,0
27.33333333,0.0,0,0,0
32.66666667,0.0,0,0,0
41.0,0.0,1,0,0
40.0,11.66666667,4,0,0
38.66666667,26.66666667,14,0,0
46.33333333,53.33333333,35,0,0
45.33333333,66.66666667,58,0,0
48.0,63.33333333,76,0,0
41.33333333,55.0,74,0,0
32.33333333,48.33333333,61,0,0
26.66666667,23.33333333,48,0,0
21.33333333,13.33333333,36,0,0
16.0,5.0,18,0,0
15.66666667,0.0,5,0,0
23.0,0.0,1,0,0
27.33333333,0.0,0,0,0
33.33333333,0.0,0,0,0
38.33333333,0.0,-1,0,0
36.66666667,0.0,0,0,0
40.66666667,0.0,0,0,0
40.0,0.0,0,0,0
38.66666667,0.0,0,0,0
38.66666667,0.0,0,0,0
38.0,0.0,0,0,0
34.0,0.0,0,0,0
26.66666667,0.0,0,0,0
23.0,0.0,1,0,0
24.66666667,0.0,0,0,0
27.33333333,0.0,0,0,0
31.33333333,0.0,0,0,0
34.66666667,0.0,0,0,0
39.33333333,0.0,0,0,0
42.0,0.0,0,0,0
40.66666667,0.0,0,0,0
37.33333333,0.0,0,0,0
40.0,0.0,0,0,0
36.66666667,3.333333333,2,0,0
29.66666667,13.33333333,7,0,0
28.33333333,30.0,19,0,0
34.66666667,60.0,38,0,0
37.66666667,51.66666667,55,0,0
43.66666667,66.66666667,73,0,0
39.0,56.66666667,73,0,0
31.66666667,35.0,63,0,0
25.66666667,28.33333333,51,0,0
21.66666667,13.33333333,33,0,0
17.33333333,5.0,20,0,0
16.66666667,1.666666667,8,0,0
19.66666667,1.666666667,3,0,0
27.33333333,0.0,-2,0,0
34.66666667,0.0,0,0,0
42.0,0.0,0,0,0
37.33333333,0.0,0,0,0
40.66666667,0.0,0,0,0
39.33333333,0.0,0,0,0
42.66666667,0.0,0,0,0
34.66666667,0.0,0,0,0
32.66666667,0.0,0,0,0
30.66666667,0.0,0,0,0
32.0,0.0,0,0,0
30.0,0.0,0,0,0
26.66666667,0.0,2,0,0
28.66666667,0.0,0,0,0
33.33333333,0.0,0,0,0
38.0,0.0,0,0,0
36.66666667,0.0,0,0,0
40.0,0.0,0,0,0
38.66666667,0.0,0,0,0
38.66666667,0.0,0,0,0
37.33333333,0.0,0,0,0
35.66666667,5.0,1,0,0
33.66666667,18.33333333,5,0,0
37.0,31.66666667,21,0,0
39.33333333,56.66666667,38,0,0
39.0,49.33333333,55,0,0
39.0,56.66666667,69,0,0
35.33333333,49.33333333,66,0,0
30.0,46.66666667,58,0,0
23.66666667,28.33333333,45,0,0
15.66666667,11.66666667,33,0,0
11.66666667,8.333333333,19,0,0
7.666666667,1.666666667,7,0,0
8.666666667,0.0,2,0,0
11.33333333,0.0,0,0,0
20.0,0.0,0,0,0
32.0,0.0,0,0,0
42.66666667,0.0,0,0,0
48.0,0.0,0,0,0
44.0,0.0,0,0,0
37.33333333,0.0,0,0,0
33.33333333,0.0,0,0,0
24.66666667,0.0,0,0,0
21.66666667,0.0,1,0,0
15.66666667,0.0,1,0,0
21.33333333,0.0,0,0,0
24.0,0.0,0,0,0
26.66666667,0.0,0,0,0
30.0,0.0,0,0,0
33.33333333,0.0,-4,0,0
32.66666667,0.0,0,0,0
35.33333333,0.0,0,0,0
32.0,0.0,0,0,0
34.66666667,0.0,0,0,0
27.0,1.666666667,1,0,0
27.0,11.66666667,5,0,0
33.0,21.66666667,13,0,0
36.66666667,35.0,28,0,0
37.66666667,50.0,41,0,0
38.66666667,58.33333333,64,0,0
39.33333333,61.66666667,74,0,0
35.66666667,41.66666667,73,0,0
26.66666667,40.0,60,0,0
19.66666667,16.66666667,43,0,0
14.33333333,20.0,31,0,0
13.33333333,6.666666667,16,0,0
11.66666667,3.333333333,11,0,0
11.0,0.0,3,0,0
16.33333333,0.0,1,0,0
24.0,0.0,-2,0,0
41.33333333,0.0,0,0,0
44.0,0.0,0,0,0
46.66666667,0.0,0,0,0
33.33333333,0.0,0,0,0
33.33333333,0.0,0,0,0
32.66666667,0.0,0,0,0
24.0,0.0,0,0,0
21.33333333,0.0,0,0,0
18.0,0.0,0,0,0
19.33333333,0.0,0,0,0
24.0,0.0,0,0,0
29.33333333,0.0,0,0,0
30.66666667,0.0,0,0,0
32.66666667,0.0,0,0,0
32.0,0.0,0,0,0
33.33333333,0.0,-4,0,0
32.66666667,0.0,0,0,0
32.0,0.0,0,0,0
27.33333333,1.666666667,0,0,0
31.33333333,15.0,4,0,0
33.66666667,15.0,15,0,0
36.66666667,41.66666667,30,0,0
40.33333333,50.0,41,0,0
39.33333333,50.0,54,0,0
38.33333333,51.66666667,59,0,0
34.33333333,51.66666667,63,0,0
28.33333333,26.66666667,59,0,0
21.33333333,36.66666667,48,0,0
13.66666667,3.333333333,31,0,0
12.33333333,13.33333333,23,0,0
10.0,1.666666667,6,0,0
15.66666667,0.0,7,0,0
19.33333333,0.0,0,0,0
28.0,0.0,0,0,0
36.66666667,0.0,0,0,0
42.0,0.0,0,0,0
37.33333333,0.0,0,0,0
35.66666667,0.0,3,0,0
34.0,0.0,0,0,0
34.66666667,0.0,0,0,0
23.33333333,0.0,0,0,0
23.33333333,0.0,0,0,0
19.33333333,0.0,0,0,0
22.0,0.0,0,0,0
18.66666667,0.0,0,0,0
26.0,0.0,0,0,0
32.0,0.0,0,0,0
32.66666667,0.0,2,0,0
35.33333333,0.0,0,0,0
30.66666667,0.0,0,0,0
38.66666667,0.0,0,0,0
36.66666667,0.0,0,0,0
38.0,3.333333333,0,0,0
35.33333333,13.33333333,4,0,0
39.0,26.66666667,19,0,0
37.66666667,33.33333333,29,0,0
40.0,56.66666667,46,0,0
41.33333333,40.0,52,0,0
36.0,50.0,58,0,0
34.33333333,51.66666667,55,0,0
33.66666667,35.0,55,0,0
32.33333333,26.66666667,41,0,0
28.33333333,11.66666667,25,0,0
24.33333333,8.333333333,15,0,0
24.33333333,3.333333333,9,0,0
27.66666667,0.0,5,0,0
30.33333333,0.0,1,0,0
35.33333333,0.0,-2,0,0
41.66666667,0.0,1,0,0
46.66666667,0.0,0,0,0
40.0,0.0,0,0,0
42.0,0.0,0,0,0
38.0,0.0,0,0,0
34.0,0.0,0,0,0
30.66666667,0.0,0,0,0
35.33333333,0.0,0,0,0
34.66666667,0.0,0,0,0
31.33333333,0.0,0,0,0
31.33333333,0.0,0,0,0
36.0,0.0,0,0,0
36.0,0.0,0,0,0
40.66666667,0.0,0,0,0
42.66666667,0.0,0,0,0
44.0,0.0,0,0,0
36.0,0.0,0,0,0
28.66666667,0.0,0,0,0
29.33333333,8.333333333,2,0,0
30.0,6.666666667,6,0,0
40.0,30.0,16,0,0
45.0,40.0,31,0,0
50.33333333,41.66666667,43,0,0
42.33333333,46.66666667,45,0,0
41.33333333,56.66666667,52,0,0
36.0,46.66666667,58,0,0
32.66666667,31.66666667,54,0,0
28.66666667,16.66666667,42,0,0
26.66666667,20.0,28,0,0
28.33333333,10.0,17,0,0
29.66666667,1.666666667,13,0,0
29.0,0.0,3,0,0
31.66666667,0.0,-1,0,0
33.0,0.0,-3,0,0
39.33333333,0.0,0,0,0
38.66666667,0.0,2,0,0
42.0,0.0,0,0,0
43.33333333,0.0,0,0,0
38.66666667,0.0,0,0,0
40.0,0.0,0,0,0
38.66666667,0.0,0,0,0
34.0,0.0,0,0,0
31.33333333,0.0,0,0,0
33.33333333,0.0,0,0,0
32.66666667,0.0,0,0,0
34.0,0.0,0,0,0
32.0,0.0,0,0,0
36.66666667,0.0,-2,0,0
42.0,0.0,-4,0,0
42.66666667,0.0,0,0,0
43.33333333,0.0,0,0,0
37.0,0.0,-1,0,0
35.0,8.333333333,3,0,0
37.0,13.33333333,9,0,0
42.0,33.33333333,20,0,0
43.66666667,36.66666667,35,0,0
37.66666667,40.0,47,0,0
36.66666667,53.33333333,56,0,0
39.0,50.0,63,0,0
35.66666667,41.66666667,69,0,0
27.0,38.33333333,59,0,0
18.66666667,18.33333333,46,0,0
15.33333333,18.33333333,32,0,0
14.33333333,10.0,19,0,0
15.33333333,0.0,14,0,0
20.33333333,0.0,3,0,0
18.66666667,0.0,0,0,0
26.0,0.0,0,0,0
29.33333333,0.0,0,0,0
40.66666667,0.0,0,0,0
39.0,0.0,3,0,0
42.0,0.0,0,0,0
38.66666667,0.0,0,0,0
37.33333333,0.0,0,0,0
36.0,0.0,0,0,0
26.66666667,0.0,0,0,0
24.0,0.0,0,0,0
20.66666667,0.0,0,0,0
26.0,0.0,0,0,0
32.0,0.0,0,0,0
34.0,0.0,0,0,0
31.33333333,0.0,0,0,0
26.66666667,0.0,0,0,0
21.33333333,0.0,0,0,0
24.66666667,0.0,0,0,0
30.0,1.666666667,0,0,0
39.0,10.0,3,0,0
39.33333333,11.66666667,10,0,0
43.33333333,38.33333333,22,0,0
48.33333333,25.0,31,0,0
49.33333333,53.33333333,46,0,0
43.0,53.33333333,51,0,0
43.33333333,56.66666667,70,0,0
37.66666667,40.0,67,0,0
29.33333333,28.33333333,54,0,0
22.66666667,25.0,42,0,0
17.33333333,18.33333333,26,0,0
18.0,5.0,22,0,0
18.66666667,1.666666667,10,0,0
18.0,1.666666667,4,0,0
20.33333333,0.0,1,0,0
27.66666667,0.0,1,0,0
30.66666667,0.0,0,0,0
34.66666667,0.0,0,0,0
38.66666667,0.0,0,0,0
35.33333333,0.0,0,0,0
32.66666667,0.0,0,0,0
38.66666667,0.0,0,0,0
36.66666667,0.0,0,0,0
26.66666667,0.0,2,0,0
26.66666667,0.0,0,0,0
30.66666667,0.0,0,0,0
29.0,0.0,1,0,0
26.66666667,0.0,0,0,0
27.33333333,0.0,0,0,0
27.0,0.0,-1,0,0
23.33333333,0.0,0,0,0
26.66666667,0.0,0,0,0
29.0,0.0,-1,0,0
30.66666667,1.666666667,0,0,0
35.0,5.0,3,0,0
40.66666667,25.0,12,0,0
48.0,28.33333333,20,0,0
42.66666667,35.0,34,0,0
42.66666667,48.0,34,0,0
40.66666667,45.0,50,0,0
43.33333333,59.33333333,66,0,0
35.66666667,41.66666667,69,0,0
30.0,26.66666667,62,0,0
23.0,23.33333333,41,0,0
18.66666667,18.33333333,24,0,0
17.66666667,6.666666667,17,0,0
19.33333333,1.666666667,12,0,0
22.0,0.0,4,0,0
25.0,0.0,1,0,0
27.33333333,0.0,0,0,0
33.33333333,0.0,-2,0,0
38.66666667,0.0,0,0,0
33.33333333,0.0,0,0,0
30.0,0.0,0,0,0
33.33333333,0.0,0,0,0
35.33333333,0.0,0,0,0
31.33333333,0.0,0,0,0
25.33333333,0.0,0,0,0
23.33333333,0.0,0,0,0
19.33333333,0.0,0,0,0
16.66666667,0.0,0,0,0
20.0,0.0,0,0,0
24.66666667,0.0,0,0,0
30.66666667,0.0,0,0,0
31.33333333,0.0,0,0,0
33.33333333,0.0,-2,0,0
36.0,0.0,0,0,0
38.0,1.666666667,0,0,0
45.33333333,6.666666667,2,0,0
46.66666667,26.66666667,14,0,0
36.66666667,26.66666667,24,0,0
32.33333333,36.66666667,39,0,0
33.33333333,40.0,42,0,0
34.0,61.66666667,50,0,0
37.0,45.0,63,0,0
37.33333333,48.33333333,64,0,0
32.33333333,26.66666667,49,0,0
28.0,21.66666667,34,0,0
22.0,13.33333333,24,0,0
17.33333333,6.666666667,14,0,0
21.0,1.666666667,11,0,0
25.66666667,0.0,3,0,0
29.66666667,0.0,1,0,0
32.66666667,0.0,0,0,0
38.66666667,0.0,0,0,0
39.33333333,0.0,-2,0,0
42.0,0.0,0,0,0
34.66666667,0.0,0,0,0
36.0,0.0,0,0,0
34.66666667,0.0,0,0,0
34.33333333,0.0,3,0,0
29.33333333,0.0,-2,0,0
28.66666667,0.0,0,0,0
30.66666667,0.0,0,0,0
37.33333333,0.0,0,0,0
36.33333333,0.0,-1,0,0
29.33333333,0.0,0,0,0
36.0,0.0,0,0,0
38.0,0.0,0,0,0
36.66666667,0.0,0,0,0
24.66666667,0.0,0,0,0
29.33333333,0.0,0,0,0
40.66666667,16.66666667,4,0,0
42.0,21.66666667,12,0,0
47.66666667,33.33333333,29,0,0
39.66666667,33.33333333,33,0,0
42.66666667,45.0,44,0,0
37.33333333,51.66666667,50,0,0
40.66666667,46.66666667,62,0,0
35.33333333,41.66666667,60,0,0
32.0,36.66666667,52,0,0
24.66666667,16.66666667,36,0,0
25.33333333,18.33333333,28,0,0
21.33333333,3.333333333,16,0,0
23.0,1.666666667,11,0,0
27.33333333,0.0,2,0,0
29.33333333,0.0,0,0,0
28.66666667,0.0,0,0,0
39.33333333,0.0,0,0,0
45.66666667,0.0,-1,0,0
45.33333333,0.0,0,0,0
39.66666667,0.0,-3,0,0
33.33333333,0.0,0,0,0
35.33333333,0.0,0,0,0
33.33333333,0.0,0,0,0
28.0,0.0,2,0,0
24.0,0.0,0,0,0
28.66666667,0.0,0,0,0
36.66666667,0.0,0,0,0
39.66666667,0.0,-1,0,0
35.33333333,0.0,0,0,0
38.66666667,0.0,0,0,0
33.33333333,0.0,2,0,0
30.66666667,0.0,0,0,0
24.0,0.0,0,0,0
30.66666667,3.333333333,0,0,0
37.33333333,18.33333333,8,0,0
50.66666667,26.66666667,12,0,0
46.33333333,25.0,25,0,0
39.66666667,38.0,31,0,0
36.33333333,48.33333333,41,0,0
38.33333333,46.66666667,49,0,0
33.33333333,48.33333333,58,0,0
32.66666667,38.33333333,60,0,0
28.33333333,31.66666667,51,0,0
23.33333333,25.0,38,0,0
26.33333333,8.333333333,25,0,0
25.0,8.333333333,15,0,0
30.0,1.666666667,6,0,0
25.33333333,0.0,4,0,0
29.33333333,0.0,0,0,0
32.0,0.0,0,0,0
43.33333333,0.0,0,0,0
41.33333333,0.0,0,0,0
39.33333333,0.0,-2,0,0
42.66666667,0.0,0,0,0
38.66666667,0.0,0,0,0
36.66666667,0.0,0,0,0
27.33333333,0.0,0,0,0
29.0,0.0,1,0,0
32.66666667,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
0.0,0.0,0,0,0
28.33333333,248.3333333,85,0,0
63.66666667,96.0,155,0,0
89.33333333,15.0,106,0,0
77.66666667,1.666666667,35,0,0
54.33333333,0.0,5,0,0
13.0,0.0,1,0,0
1.333333333,0.0,0,0,0
0.0,0.0,0,0,0
2.666666667,0.0,0,0,0
11.33333333,0.0,0,0,0
26.0,0.0,0,0,0
32.0,0.0,0,0,0
36.66666667,0.0,-2,0,0
43.33333333,0.0,-4,0,0
59.33333333,0.0,0,0,0
61.33333333,0.0,0,0,0
43.33333333,0.0,4,0,0
26.0,0.0,0,0,0
18.33333333,0.0,-1,0,0
16.0,0.0,0,0,0
15.33333333,0.0,0,0,0
17.33333333,0.0,0,0,0
24.0,0.0,0,0,0
28.66666667,0.0,0,0,0
30.0,0.0,0,0,0
42.66666667,0.0,0,0,0
47.0,0.0,-3,0,0
49.33333333,0.0,0,0,0
42.0,0.0,0,0,0
32.66666667,0.0,0,0,0
21.66666667,0.0,-1,0,0
27.33333333,0.0,0,0,0
23.33333333,0.0,0,0,0
34.66666667,123.3333333,34,0,0
53.66666667,151.6666667,105,0,0
64.0,51.66666667,158,0,0
37.66666667,15.0,97,0,0
14.66666667,1.666666667,34,0,0
4.333333333,0.0,7,0,0
2.666666667,0.0,2,0,0
6.333333333,0.0,1,0,0
11.33333333,0.0,0,0,0
20.66666667,0.0,0,0,0
22.0,0.0,0,0,0
28.66666667,0.0,0,0,0
39.66666667,0.0,1,0,0
55.33333333,0.0,0,0,0
57.33333333,0.0,-2,0,0
49.33333333,0.0,0,0,0
33.33333333,0.0,0,0,0
25.66666667,0.0,-1,0,0
21.0,0.0,-1,0,0
16.0,0.0,0,0,0
15.66666667,0.0,1,0,0
23.33333333,0.0,0,0,0
28.0,0.0,0,0,0
33.33333333,0.0,0,0,0
41.66666667,0.0,1,0,0
46.66666667,0.0,0,0,0
41.33333333,0.0,0,0,0
36.0,0.0,0,0,0
33.33333333,0.0,0,0,0
24.0,0.0,0,0,0
25.33333333,0.0,0,0,0
23.33333333,0.0,0,0,0
26.33333333,60.0,11,0,0
48.33333333,138.3333333,73,0,0
59.66666667,113.3333333,129,0,0
52.0,40.0,126,0,0
25.66666667,10.0,73,0,0
8.666666667,3.333333333,20,0,0
4.333333333,0.0,7,0,0
4.0,0.0,2,0,0
7.333333333,0.0,0,0,0
16.66666667,0.0,0,0,0
31.33333333,0.0,0,0,0
36.66666667,0.0,0,0,0
38.66666667,0.0,0,0,0
40.33333333,0.0,1,0,0
42.66666667,0.0,0,0,0
37.33333333,0.0,0,0,0
38.66666667,0.0,0,0,0
32.0,0.0,0,0,0
32.66666667,0.0,0,0,0
23.33333333,0.0,0,0,0
22.0,0.0,0,0,0
20.66666667,0.0,0,0,0
16.0,0.0,0,0,0
24.0,0.0,0,0,0
30.66666667,0.0,0,0,0
36.66666667,0.0,-2,0,0
41.33333333,0.0,0,0,0
37.0,0.0,-3,0,0
33.33333333,0.0,0,0,0
33.66666667,0.0,-1,0,0
33.0,0.0,-1,0,0
28.66666667,0.0,0,0,0
22.66666667,36.66666667,6,0,0
40.66666667,110.0,48,0,0
56.0,121.6666667,100,0,0
57.66666667,70.0,119,0,0
38.33333333,20.0,85,0,0
19.66666667,6.666666667,41,0,0
6.333333333,0.0,11,0,0
3.333333333,3.333333333,4,0,0
5.333333333,0.0,2,0,0
11.0,0.0,1,0,0
22.66666667,0.0,0,0,0
27.33333333,0.0,0,0,0
29.33333333,0.0,0,0,0
37.33333333,0.0,0,0,0
45.33333333,0.0,0,0,0
42.0,0.0,0,0,0
40.66666667,0.0,0,0,0
43.33333333,0.0,0,0,0
36.66666667,0.0,0,0,0
29.33333333,0.0,0,0,0
24.0,0.0,0,0,0
18.66666667,0.0,0,0,0
17.33333333,0.0,0,0,0
18.0,0.0,0,0,0
24.33333333,0.0,-1,0,0
29.33333333,0.0,0,0,0
39.33333333,0.0,0,0,0
38.66666667,0.0,0,0,0
41.33333333,0.0,0,0,0
33.33333333,0.0,0,0,0
31.33333333,0.0,0,0,0
30.0,0.0,0,0,0
36.0,0.0,2,0,0
28.33333333,23.33333333,7,0,0
34.33333333,100.0,39,0,0
45.66666667,113.3333333,91,0,0
52.33333333,80.0,125,0,0
41.0,31.66666667,99,0,0
21.33333333,10.0,50,0,0
9.666666667,5.0,21,0,0
5.333333333,3.333333333,8,0,0
5.666666667,0.0,3,0,0
9.666666667,0.0,1,0,0
22.0,0.0,0,0,0
29.33333333,0.0,0,0,0
31.33333333,0.0,0,0,0
34.0,0.0,0,0,0
42.66666667,0.0,0,0,0
44.66666667,0.0,0,0,0
43.33333333,0.0,0,0,0
41.33333333,0.0,0,0,0
40.0,0.0,0,0,0
30.66666667,0.0,0,0,0
20.0,0.0,0,0,0
12.66666667,0.0,0,0,0
16.66666667,0.0,0,0,0
23.33333333,0.0,0,0,0
31.33333333,0.0,0,0,0
40.0,0.0,4,0,0
42.66666667,0.0,0,0,0
40.0,0.0,0,0,0
39.0,0.0,1,0,0
39.33333333,0.0,0,0,0
38.66666667,0.0,0,0,0
36.0,3.333333333,0,0,0
27.0,21.66666667,7,0,0
30.33333333,75.0,33,0,0
46.33333333,105.0,77,0,0
54.33333333,88.33333333,107,0,0
47.0,41.66666667,91,0,0
28.0,18.33333333,56,0,0
18.0,8.333333333,30,0,0
13.66666667,3.333333333,13,0,0
16.0,0.0,6,0,0
22.66666667,0.0,2,0,0
27.33333333,0.0,0,0,0
28.33333333,0.0,1,0,0
30.0,0.0,2,0,0
35.33333333,0.0,0,0,0
38.66666667,0.0,0,0,0
46.66666667,0.0,0,0,0
49.33333333,0.0,0,0,0
51.33333333,0.0,4,0,0
38.66666667,0.0,0,0,0
30.66666667,0.0,0,0,0
27.33333333,0.0,0,0,0
23.33333333,0.0,0,0,0
24.66666667,0.0,0,0,0
27.33333333,0.0,0,0,0
34.0,0.0,0,0,0
35.33333333,0.0,0,0,0
40.66666667,0.0,0,0,0
39.66666667,0.0,1,0,0
41.33333333,0.0,0,0,0
41.33333333,0.0,0,0,0
42.66666667,0.0,0,0,0
34.66666667,0.0,0,0,0
28.0,0.0,0,0,0
32.33333333,3.333333333,1,0,0
39.0,40.0,11,0,0
44.66666667,85.0,34,0,0
55.0,96.66666667,83,0,0
51.0,78.33333333,99,0,0
38.66666667,33.0,80,0,0
26.33333333,16.66666667,53,0,0
16.0,11.66666667,30,0,0
14.66666667,0.0,14,0,0
17.0,0.0,7,0,0
22.0,0.0,0,0,0
29.33333333,0.0,0,0,0
34.0,0.0,0,0,0
37.0,0.0,-1,0,0
34.0,0.0,0,0,0
36.0,0.0,-2,0,0
46.33333333,0.0,-1,0,0
54.0,0.0,0,0,0
47.33333333,0.0,0,0,0
38.66666667,0.0,0,0,0
26.0,0.0,0,0,0
27.0,0.0,1,0,0
24.0,0.0,0,0,0
24.0,0.0,0,0,0
26.66666667,0.0,0,0,0
34.33333333,0.0,1,0,0
32.66666667,0.0,-4,0,0
38.0,0.0,0,0,0
40.33333333,0.0,1,0,0
42.33333333,0.0,-1,0,0
42.0,0.0,0,0,0
37.33333333,0.0,0,0,0
28.66666667,0.0,0,0,0
30.0,0.0,0,0,0
35.0,20.0,5,0,0
39.33333333,38.33333333,18,0,0
44.66666667,91.66666667,50,0,0
46.33333333,90.0,87,0,0
45.33333333,63.33333333,102,0,0
33.66666667,36.66666667,81,0,0
20.0,16.66666667,48,0,0
13.0,8.333333333,31,0,0
9.0,1.666666667,15,0,0
10.33333333,0.0,5,0,0
21.66666667,0.0,1,0,0
39.33333333,0.0,0,0,0
51.33333333,0.0,-2,0,0
54.33333333,0.0,1,0,0
41.33333333,0.0,0,0,0
35.33333333,0.0,0,0,0
28.0,0.0,0,0,0
32.66666667,0.0,0,0,0
32.0,0.0,0,0,0
35.33333333,0.0,0,0,0
38.66666667,0.0,0,0,0
40.66666667,0.0,0,0,0
40.66666667,0.0,0,0,0
38.0,0.0,0,0,0
36.0,0.0,0,0,0
28.0,0.0,0,0,0
26.66666667,0.0,0,0,0
28.66666667,0.0,0,0,0
32.0,0.0,0,0,0
36.66666667,0.0,0,0,0
38.0,0.0,0,0,0
45.66666667,0.0,3,0,0
46.0,0.0,0,0,0
42.33333333,5.0,1,0,0
37.66666667,23.33333333,9,0,0
48.66666667,51.66666667,30,0,0
53.33333333,76.66666667,56,0,0
49.0,90.0,87,0,0
44.0,61.66666667,98,0,0
35.66666667,33.33333333,77,0,0
23.33333333,16.66666667,42,0,0
17.0,6.666666667,25,0,0
10.0,3.333333333,12,0,0
15.33333333,0.0,4,0,0
27.0,0.0,-1,0,0
41.33333333,0.0,0,0,0
47.33333333,0.0,0,0,0
51.33333333,0.0,0,0,0
41.33333333,0.0,0,0,0
34.0,0.0,0,0,0
24.66666667,0.0,0,0,0
34.66666667,0.0,0,0,0
37.33333333,0.0,0,0,0
43.33333333,0.0,0,0,0
41.66666667,0.0,1,0,0
40.66666667,0.0,0,0,0
39.33333333,0.0,0,0,0
34.66666667,0.0,0,0,0
32.0,0.0,0,0,0
30.66666667,0.0,0,0,0
26.0,0.0,0,0,0
28.0,0.0,0,0,0
35.66666667,0.0,-1,0,0
37.33333333,0.0,0,0,0
45.33333333,0.0,0,0,0
39.33333333,0.0,0,0,0
42.0,1.666666667,0,0,0
41.33333333,6.666666667,2,0,0
43.66666667,20.0,9,0,0
45.33333333,63.33333333,28,0,0
44.66666667,67.66666667,62,0,0
49.66666667,90.0,85,0,0
38.33333333,53.33333333,81,0,0
34.33333333,38.33333333,81,0,0
22.66666667,8.333333333,48,0,0
15.0,6.666666667,27,0,0
12.66666667,3.333333333,10,0,0
20.66666667,0.0,6,0,0
31.66666667,0.0,1,0,0
40.66666667,0.0,0,0,0
44.0,0.0,0,0,0
50.66666667,0.0,0,0,0
43.33333333,0.0,0,0,0
32.0,0.0,0,0,0
29.33333333,0.0,0,0,0
34.66666667,0.0,0,0,0
31.33333333,0.0,0,0,0
24.66666667,0.0,0,0,0
12.66666667,0.0,0,0,0
14.66666667,0.0,0,0,0
22.0,0.0,0,0,0
33.33333333,0.0,0,0,0
34.66666667,0.0,0,0,0
42.0,0.0,0,0,0
38.66666667,0.0,0,0,0
39.66666667,0.0,3,0,0
32.66666667,0.0,0,0,0
31.33333333,0.0,0,0,0
25.33333333,0.0,0,0,0
22.33333333,0.0,-1,0,0
23.0,3.333333333,1,0,0
27.33333333,15.0,6,0,0
30.66666667,30.0,18,0,0
37.66666667,60.0,39,0,0
44.0,71.66666667,58,0,0
47.0,72.0,77,0,0
39.66666667,45.0,77,0,0
34.0,40.0,66,0,0
23.0,15.0,43,0,0
17.66666667,8.333333333,29,0,0
11.33333333,1.666666667,12,0,0
10.66666667,0.0,6,0,0
10.66666667,0.0,2,0,0
16.66666667,0.0,0,0,0
24.0,0.0,0,0,0
34.66666667,0.0,0,0,0
42.66666667,0.0,0,0,0
50.33333333,0.0,1,0,0
48.0,0.0,0,0,0
42.0,0.0,0,0,0
34.33333333,0.0,-1,0,0
24.66666667,0.0,0,0,0
23.33333333,0.0,0,0,0
18.0,0.0,0,0,0
18.0,0.0,0,0,0
28.33333333,0.0,1,0,0
28.33333333,0.0,-1,0,0
28.66666667,0.0,4,0,0
31.0,0.0,-1,0,0
38.66666667,0.0,0,0,0
44.0,0.0,0,0,0
39.0,0.0,1,0,0
33.33333333,0.0,2,0,0
34.66666667,1.666666667,0,0,0
33.66666667,3.333333333,1,0,0
34.0,13.33333333,6,0,0
30.0,38.33333333,18,0,0
32.66666667,48.33333333,40,0,0
35.33333333,70.0,60,0,0
39.33333333,70.0,78,0,0
37.66666667,65.0,85,0,0
32.0,25.0,74,0,0
23.0,16.66666667,49,0,0
15.66666667,11.66666667,25,0,0
12.0,5.0,16,0,0
11.33333333,0.0,8,0,0
12.66666667,0.0,2,0,0
19.0,0.0,-1,0,0
